,DeepFaceModel,HSEmotionModel,RMNModel
Angry,0.7645833333333333,0.0,0.5229166666666667
Disgust,0.8018018018018018,0.5945945945945946,0.07207207207207207
Fear,0.8074656188605108,0.393909626719057,0.08644400785854617
Happy,0.9167123287671233,0.8356164383561644,0.6186301369863013
Neutral,0.84375,0.5493421052631579,0.14391447368421054
Sad,0.7699736611062336,0.0,0.3028972783143108
Surprise,0.8782936010037641,0.44165621079046424,0.21957340025094102
Latency,0.04433149829856944,0.05273306008745718,0.7741726257967739
